"","n.clusters","sil.coef","n.samples","randomization","Typicality"
"94",2,0.306912252474959,4,11,0.995964432027164
"95",2,0.33225899336248,5,11,0.997771151291593
"96",2,0.331125357735498,6,11,0.997485623492044
"97",2,0.318909101960607,7,11,0.997035942886116
"98",2,0.305193781053068,8,11,0.995426523488153
"99",2,0.307788034755212,9,11,0.996355058258069
"100",2,0.34934137374578,1,12,0.998788732747985
"101",2,0.286746667586431,2,12,0.991862862716903
"102",2,0.331441571853645,3,12,0.998188867480076
"103",2,0.288534696313625,4,12,0.993528058695843
"104",2,0.314743562909668,5,12,0.997085314869873
"105",2,0.313984860818394,6,12,0.996458917440405
"106",2,0.317650533522764,7,12,0.997246156037623
"107",2,0.315010202119126,8,12,0.99612809613753
"108",2,0.311544049495198,9,12,0.996785425093664
"109",2,0.311889982022771,1,13,0.997026797546616
"110",2,0.332770459673856,2,13,0.997810862813794
"111",2,0.355930105238958,3,13,0.99864890170768
"112",2,0.31312212934001,4,13,0.996658708153617
"113",2,0.326947698945485,5,13,0.997769836737938
"114",2,0.307105907421274,6,13,0.996480661136028
"115",2,0.312708660108053,7,13,0.996589534841445
"116",2,0.301338755074851,8,13,0.99584502091553
"117",2,0.321124441503297,9,13,0.997129767429317
"118",2,0.315007653329552,1,14,0.998308866712844
"119",2,0.281465238553034,2,14,0.994911410790385
"120",2,0.301921393976756,3,14,0.995986406418526
"121",2,0.28136216473346,4,14,0.990998420435225
"122",2,0.301666625284652,5,14,0.996197162002386
"123",2,0.313361393349993,6,14,0.996818225628529
"124",2,0.308971255575306,7,14,0.996455358912361
"125",2,0.318936899315469,8,14,0.997169837796868
"126",2,0.309995991141045,9,14,0.996412873219926
"127",2,0.392856072025039,1,15,0.999667144359238
"128",2,0.300423503600307,2,15,0.99746402295062
"129",2,0.30256664264718,3,15,0.996502770764626
"130",2,0.290739344057514,4,15,0.995962879079737
"131",2,0.300215248588739,5,15,0.99614669041051
"132",2,0.294606346172469,6,15,0.995844347363973
"133",2,0.29965505748965,7,15,0.995296040133013
"134",2,0.321140237146353,8,15,0.997233914444507
"135",2,0.31866901286967,9,15,0.99712932901655
"136",3,0.220852238697432,1,16,0.99182402765633
"137",2,0.313538255314892,2,16,0.99681953038151
"138",2,0.316758038053208,3,16,0.998190313841383
"139",2,0.319495030354751,4,16,0.996861167775442
"140",2,0.292092821183112,5,16,0.995715742824657
"141",2,0.28880555438008,6,16,0.993968812633083
"142",2,0.306739666909912,7,16,0.996152935426372
"143",2,0.324990175446438,8,16,0.997437655062108
"144",2,0.313448106715302,9,16,0.996723978334378
"145",3,0.0808411844040977,1,17,0.89883921127265
"146",2,0.301776968630902,2,17,0.995900899750335
"147",2,0.296888876984339,3,17,0.995936931459964
"148",2,0.315693723290182,4,17,0.997005030296859
"149",2,0.322107837659034,5,17,0.99759346848797
"150",2,0.331226528258229,6,17,0.99773664439497
"151",2,0.3123206839982,7,17,0.996471896488223
"152",2,0.323600372910349,8,17,0.997154049398238
"153",2,0.303828370783795,9,17,0.996100901578553
