"","n.clusters","sil.coef","algorithm","N.features","randomization"
"121",4,0.622228604664233,"affinity",1,11
"122",2,0.633859774298185,"fuzzy",1,11
"123",5,0.518928767955872,"affinity",2,11
"124",3,0.501005195410016,"fuzzy",2,11
"125",5,0.500654508841992,"affinity",3,11
"126",2,0.613092101119551,"fuzzy",3,11
"127",4,0.360615951942724,"affinity",4,11
"128",2,0.567286629985755,"fuzzy",4,11
"129",4,0.39800301724059,"affinity",5,11
"130",2,0.598134571843411,"fuzzy",5,11
"131",4,0.337805845035636,"affinity",6,11
"132",2,0.56858171859222,"fuzzy",6,11
"133",5,0.453978170724857,"affinity",1,12
"134",2,0.544307029187564,"fuzzy",1,12
"135",7,0.353208207349809,"affinity",2,12
"136",2,0.531645457545606,"fuzzy",2,12
"137",5,0.422335878422828,"affinity",3,12
"138",2,0.614610787371556,"fuzzy",3,12
"139",5,0.362032348328457,"affinity",4,12
"140",2,0.596203531777549,"fuzzy",4,12
"141",6,0.253835840606989,"affinity",5,12
"142",2,0.57586218378458,"fuzzy",5,12
"143",5,0.24625070930208,"affinity",6,12
"144",2,0.561071392673863,"fuzzy",6,12
"145",5,0.534607973199699,"affinity",1,13
"146",6,0.584771995758416,"fuzzy",1,13
"147",6,0.421128091333912,"affinity",2,13
"148",6,0.399066786344451,"fuzzy",2,13
"149",5,0.341495872003419,"affinity",3,13
"150",2,0.53426506298431,"fuzzy",3,13
"151",5,0.320204371991108,"affinity",4,13
"152",2,0.586143900702232,"fuzzy",4,13
"153",5,0.315515514632598,"affinity",5,13
"154",2,0.552347561784968,"fuzzy",5,13
"155",4,0.336291718773491,"affinity",6,13
"156",2,0.560496667252528,"fuzzy",6,13
"157",4,0.541575827953265,"affinity",1,14
"158",4,0.539517806811283,"fuzzy",1,14
"159",4,0.668642781567668,"affinity",2,14
"160",5,0.534856668305154,"fuzzy",2,14
"161",5,0.461819024301864,"affinity",3,14
"162",2,0.608053494982226,"fuzzy",3,14
"163",4,0.450601391935606,"affinity",4,14
"164",2,0.598968355048999,"fuzzy",4,14
"165",5,0.26576772850987,"affinity",5,14
"166",2,0.560216628506034,"fuzzy",5,14
"167",5,0.234426122804674,"affinity",6,14
"168",2,0.554329319552069,"fuzzy",6,14
"169",6,0.42556086329547,"affinity",1,15
"170",2,0.597787642656325,"fuzzy",1,15
"171",6,0.271290859668761,"affinity",2,15
"172",2,0.453500403244524,"fuzzy",2,15
"173",4,0.590876570091064,"affinity",3,15
"174",2,0.703048707701832,"fuzzy",3,15
"175",4,0.444012266740438,"affinity",4,15
"176",2,0.593260290526232,"fuzzy",4,15
"177",5,0.301047004526544,"affinity",5,15
"178",2,0.574807658664588,"fuzzy",5,15
"179",5,0.2358027228806,"affinity",6,15
"180",2,0.555205786325082,"fuzzy",6,15
"181",5,0.461336744617864,"affinity",1,16
"182",2,0.640080955883194,"fuzzy",1,16
"183",4,0.568752573286023,"affinity",2,16
"184",2,0.675606944361315,"fuzzy",2,16
"185",5,0.572602804545573,"affinity",3,16
"186",2,0.49743868404697,"fuzzy",3,16
"187",5,0.350379067831892,"affinity",4,16
"188",2,0.605257620964287,"fuzzy",4,16
"189",5,0.239636060055105,"affinity",5,16
"190",2,0.557658504570231,"fuzzy",5,16
"191",5,0.234418787661711,"affinity",6,16
"192",2,0.55432412830214,"fuzzy",6,16
"193",7,0.414621263076067,"affinity",1,17
"194",2,0.5491280260902,"fuzzy",1,17
"195",5,0.246194344284837,"affinity",2,17
"196",2,0.315970515857067,"fuzzy",2,17
"197",5,0.464630832326189,"affinity",3,17
"198",2,0.416760664667815,"fuzzy",3,17
"199",4,0.349248924793211,"affinity",4,17
"200",2,0.558831659735494,"fuzzy",4,17
"201",6,0.267138603547934,"affinity",5,17
"202",2,0.542611902069458,"fuzzy",5,17
"203",5,0.23807013574286,"affinity",6,17
"204",2,0.552896879970462,"fuzzy",6,17
"205",4,0.623077168086445,"affinity",1,18
"206",2,0.646200127774616,"fuzzy",1,18
"207",8,0.237482954565604,"affinity",2,18
"208",2,0.368212245062009,"fuzzy",2,18
"209",4,0.546082799073794,"affinity",3,18
"210",2,0.659444497226932,"fuzzy",3,18
"211",5,0.41649039753647,"affinity",4,18
"212",6,0.376903661442924,"fuzzy",4,18
"213",4,0.341200404244021,"affinity",5,18
"214",2,0.569357556212291,"fuzzy",5,18
"215",4,0.305871316124492,"affinity",6,18
"216",2,0.558890244095594,"fuzzy",6,18
"217",4,0.622200568208511,"affinity",1,19
"218",2,0.633851365680188,"fuzzy",1,19
"219",4,0.556838144390101,"affinity",2,19
"220",4,0.539413256105075,"fuzzy",2,19
"221",4,0.660393865467096,"affinity",3,19
"222",2,0.682444305059606,"fuzzy",3,19
"223",4,0.43697467031644,"affinity",4,19
"224",2,0.628370923779653,"fuzzy",4,19
"225",4,0.377770362591608,"affinity",5,19
"226",2,0.565809846011548,"fuzzy",5,19
"227",4,0.313756837754346,"affinity",6,19
"228",2,0.550054514228346,"fuzzy",6,19
"229",3,0.672604148167939,"affinity",1,20
"230",2,0.71396933361101,"fuzzy",1,20
"231",4,0.370118610671971,"affinity",2,20
"232",3,0.357942659074694,"fuzzy",2,20
"233",5,0.447921359294989,"affinity",3,20
"234",2,0.614726034229946,"fuzzy",3,20
"235",5,0.332175282458465,"affinity",4,20
"236",2,0.551677288035224,"fuzzy",4,20
"237",5,0.247439455752481,"affinity",5,20
"238",2,0.561777256744238,"fuzzy",5,20
"239",4,0.351256195151269,"affinity",6,20
"240",2,0.577096519461593,"fuzzy",6,20
"241",8,0.363700244499904,"affinity",1,21
"242",2,0.455067257570104,"fuzzy",1,21
"243",6,0.407043716168204,"affinity",2,21
"244",4,0.383608070026832,"fuzzy",2,21
"245",7,0.267287977888448,"affinity",3,21
"246",2,0.34793635020127,"fuzzy",3,21
"247",4,0.53916333876313,"affinity",4,21
"248",2,0.614263062926831,"fuzzy",4,21
"249",4,0.306047437965872,"affinity",5,21
"250",3,0.297545872806322,"fuzzy",5,21
"251",5,0.244968151113618,"affinity",6,21
"252",2,0.56033949995358,"fuzzy",6,21
"253",4,0.586650317197159,"affinity",1,22
"254",2,0.644200464420483,"fuzzy",1,22
"255",4,0.475309500084145,"affinity",2,22
"256",2,0.637698633584091,"fuzzy",2,22
"257",4,0.655672373955181,"affinity",3,22
"258",5,0.51795155448452,"fuzzy",3,22
"259",4,0.38512053234022,"affinity",4,22
"260",2,0.577139131933999,"fuzzy",4,22
"261",4,0.340948457723262,"affinity",5,22
"262",2,0.570213063522124,"fuzzy",5,22
"263",4,0.307507835724034,"affinity",6,22
"264",2,0.55987481233628,"fuzzy",6,22
"265",5,0.50915608329322,"affinity",1,23
"266",6,0.468393458580913,"fuzzy",1,23
"267",4,0.593636183110499,"affinity",2,23
"268",2,0.683703624489967,"fuzzy",2,23
"269",5,0.398703904447631,"affinity",3,23
"270",2,0.589486670942095,"fuzzy",3,23
"271",5,0.339030244425662,"affinity",4,23
"272",2,0.57816976778779,"fuzzy",4,23
"273",5,0.247387599725994,"affinity",5,23
"274",2,0.561799571623414,"fuzzy",5,23
"275",4,0.305806128913525,"affinity",6,23
"276",2,0.55886061095971,"fuzzy",6,23
"277",4,0.622695615429743,"affinity",1,24
"278",2,0.633741801831746,"fuzzy",1,24
"279",5,0.499599414588231,"affinity",2,24
"280",2,0.61333198804636,"fuzzy",2,24
"281",4,0.593565682659092,"affinity",3,24
"282",2,0.683662691360737,"fuzzy",3,24
"283",5,0.400323443679951,"affinity",4,24
"284",5,0.347249668197857,"fuzzy",4,24
"285",6,0.334827061968052,"affinity",5,24
"286",3,0.309939262693746,"fuzzy",5,24
"287",5,0.232548986044465,"affinity",6,24
"288",2,0.548065050382361,"fuzzy",6,24
"289",5,0.505934963490326,"affinity",1,25
"290",4,0.497540741422647,"fuzzy",1,25
"291",4,0.557402927043281,"affinity",2,25
"292",4,0.536359784949029,"fuzzy",2,25
"293",6,0.418236353893,"affinity",3,25
"294",2,0.623688916010525,"fuzzy",3,25
"295",4,0.416551129046752,"affinity",4,25
"296",2,0.583680286862931,"fuzzy",4,25
"297",4,0.331632952193233,"affinity",5,25
"298",2,0.567138873932592,"fuzzy",5,25
"299",5,0.312764198924619,"affinity",6,25
"300",2,0.562340129394001,"fuzzy",6,25
