"","n.clusters","sil.coef","n.samples","randomization"
"214",4,0.320578901495929,9,14
"215",5,0.242846095796449,9,15
"216",4,0.324389024033737,9,16
"217",5,0.235644897311183,9,17
"218",4,0.323417557936484,9,18
"219",4,0.323055020712974,9,19
"220",4,0.319178048554863,9,20
"221",4,0.326924365976273,9,21
"222",4,0.322445382439768,9,22
"223",4,0.325819559544706,9,23
"224",4,0.325385194155117,9,24
"225",4,0.312243418641238,9,25
