New.Pulse,Cluster_Typical,Clip.Name,affinity.id,Pulse.Type,Source.Name,Selection,Tonal,Begin.Time.s,End.Time.s,Low.Freq.Hz,High.Freq.Hz,Begin.File,Male_ID,meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5..Hz,Freq.95..Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50..Hz,BW.90..Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50..s,Dur.90..s,Freq.25..Hz,Freq.75..Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz.ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz.ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz.ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25..Rel.,Time.5..Rel.,Time.75..Rel.,Time.95..Rel.,Freq_IQR,Time_IQR,F0_min,F0_max
R,NA,2014-03-30 081014_MZ000067-P800_LC_WE_16.WAV,812,HU,2014-03-30 081014_MZ000067-P800_LC_WE.txt,16,y,19.94831212,20.13812231,50,1500,2014-03-30 081014_MZ000067-P800_LC_WE.WAV,P800,0.43,0.23,2.17,7.35,0.85,0.91,0.77,0.32,0.34,0.24,0.5,0.26,3.29,0.31,0.35,0.19,0.32,0.19,204.55,619.02,5.95,5.43,80.74,414.48,301.44,0.54,0.06,0.13,263.76,344.5,306.82,-0.1,366.03,3.42,193.78,-12.17,2,0.69,0.38,0.15,0.69,0.85,80.74,0.31,0.16,0.31
S,2,2014-03-30 081014_MZ000067-P800_LC_WE_39.WAV,616,SI,2014-03-30 081014_MZ000067-P800_LC_WE.txt,39,y,56.23314988,56.6028,50,1000,2014-03-30 081014_MZ000067-P800_LC_WE.WAV,P800,0.26,0.2,2.76,10.59,0.83,0.87,0.72,0.33,0.17,0.06,0.31,0.26,2,0.2,0.06,-0.4,0.13,0.37,86.13,279.91,5.21,3.64,134.57,193.78,161.48,0.4,0.14,0.28,113.04,247.61,161.48,-0.26,263.76,8.75,80.74,-9.89,2,0.12,0.2,0.04,0.6,0.84,134.57,0.4,0.08,0.17
R,NA,2014-03-30 131532_MZ000070-P800_LC_WE_9.WAV,812,HU,2014-03-30 131532_MZ000070-P800_LC_WE.txt,9,y,7.07279503,7.26260522,50,1000,2014-03-30 131532_MZ000070-P800_LC_WE.WAV,P800,0.4,0.13,2.84,11.67,0.78,0.9,0.7,0.15,0.39,0.09,0.68,0.59,2.75,0.24,0.31,0.39,0.28,0.19,258.38,559.81,3.99,3.6,193.78,301.44,290.67,0.43,0.03,0.09,269.14,462.92,279.91,0.99,549.05,34.91,258.38,-8.73,2,0.4,0.37,0.23,0.53,0.73,193.78,0.17,0.27,0.29
R,1,2014-03-30 131532_MZ000070-P800_LC_WE_24.WAV,152,VO,2014-03-30 131532_MZ000070-P800_LC_WE.txt,24,y,26.18547593,27.01464676,50,1500,2014-03-30 131532_MZ000070-P800_LC_WE.WAV,P800,0.64,0.33,1.2,3.76,0.94,0.87,0.81,0.55,0.52,0.06,1.41,1.36,8.43,0.24,0.75,0.62,0.36,0.83,204.55,915.08,5.74,4.06,139.95,710.53,376.8,0.51,0.49,0.66,322.97,462.92,355.27,0.23,1324.17,95.99,161.48,-123.92,10,0.86,0.26,0.12,0.86,0.92,139.95,0.59,0.18,0.75
I,NA,2014-03-30 131532_MZ000070-P800_LC_WE_33.WAV,812,LR,2014-03-30 131532_MZ000070-P800_LC_WE.txt,33,y,40.19178044,41.1368,50,1000,2014-03-30 131532_MZ000070-P800_LC_WE.WAV,P800,0.38,0.17,3.26,13.82,0.8,0.87,0.7,0.22,0.31,0.06,0.97,0.92,3.84,0.24,0.31,0.08,0.32,0.95,247.61,355.27,3.6,2.67,32.3,107.66,322.97,0.65,0.21,0.52,301.44,333.73,333.73,0.13,398.33,10.47,204.55,-6.98,7,0.72,0.51,0.26,0.73,0.81,32.3,0.22,0.2,0.34
R,1,2014-03-30 131532_MZ000070-P800_LC_WE_41.WAV,16,HR,2014-03-30 131532_MZ000070-P800_LC_WE.txt,41,y,50.93212274,52.00105381,50,1000,2014-03-30 131532_MZ000070-P800_LC_WE.WAV,P800,0.48,0.18,1.19,3.69,0.93,0.87,0.81,0.47,0.41,0.13,0.9,0.77,6.52,0.35,0.39,0.03,0.32,1.07,258.38,721.3,5.4,3.39,215.31,462.92,366.03,0.45,0.27,0.74,312.2,527.52,301.44,0.23,807.42,82.03,107.66,-57.6,6,0.42,0.36,0.2,0.61,0.9,215.31,0.25,0.12,0.46
S,2,2014-03-30 131532_MZ000070-P800_LC_WE_48.WAV,616,SI,2014-03-30 131532_MZ000070-P800_LC_WE.txt,48,p,60.62600243,60.8957327,50,1000,2014-03-30 131532_MZ000070-P800_LC_WE.WAV,P800,0.18,0.19,4.39,21.7,0.73,0.88,0.64,0.28,0.11,0.06,0.2,0.15,4,0.13,0.2,0.27,0.09,0.27,75.36,129.19,2.85,2.77,21.53,53.83,107.66,0.21,0.05,0.13,86.13,107.66,107.66,-0.08,118.42,6.98,53.83,-1.75,3,0.14,0.14,0.07,0.33,0.56,21.53,0.19,0.07,0.1
S,2,2014-03-31 091616_MZ000077-P800_LC_WE_26.WAV,616,SI,2014-03-31 091616_MZ000077-P800_LC_WE.txt,26,y,32.79307687,33.3625,50,1000,2014-03-31 091616_MZ000077-P800_LC_WE.WAV,P800,0.24,0.2,3.36,15.13,0.84,0.87,0.72,0.34,0.16,0.09,0.39,0.29,7.25,0.24,0.09,-0.26,0.13,0.57,91.51,274.52,5.15,3.74,96.89,183.02,177.63,0.36,0.24,0.38,113.04,209.93,113.04,-0.26,209.93,0,64.59,-1.52,0,0.49,0.08,0.03,0.51,0.72,96.89,0.44,0.06,0.2
R,1,2014-03-31 154232_MZ000080-P800_LC_WE_25.WAV,152,VO,2014-03-31 154232_MZ000080-P800_LC_WE.txt,25,y,49.00188251,49.81107332,50,1500,2014-03-31 154232_MZ000080-P800_LC_WE.WAV,P800,0.76,0.43,1.86,7.77,0.94,0.87,0.81,0.56,0.65,0.06,1.41,1.36,8.65,0.06,0.42,0.45,0.36,0.81,220.7,1372.62,6.94,5.71,258.38,1151.92,403.71,0.25,0.18,0.69,317.59,575.96,328.35,0.14,1453.36,57.44,209.93,-49.83,11,0.27,0.2,0.09,0.43,0.96,258.38,0.23,0.17,1.45
R,1,2014-03-31 154232_MZ000080-P800_LC_WE_27.WAV,16,VO,2014-03-31 154232_MZ000080-P800_LC_WE.txt,27,y,53.51341737,54.61231847,50,1000,2014-03-31 154232_MZ000080-P800_LC_WE.WAV,P800,0.39,0.2,1.62,4.44,0.92,0.87,0.8,0.49,0.36,0.06,0.97,0.92,7.28,0.06,0.06,0,0.28,1.1,204.55,683.62,6.04,4.22,118.42,479.07,339.12,0.58,0.51,0.79,263.76,382.18,355.27,0.18,963.52,38.8,177.63,-32.71,6,0.9,0.42,0.19,0.88,0.92,118.42,0.47,0.11,0.51
S,2,2014-03-31 154232_MZ000080-P800_LC_WE_39.WAV,616,SI,2014-03-31 154232_MZ000080-P800_LC_WE.txt,39,y,67.79225538,68.1913,50,1000,2014-03-31 154232_MZ000080-P800_LC_WE.WAV,P800,0.28,0.18,1.8,5.25,0.87,0.87,0.75,0.38,0.19,0.06,0.31,0.26,4.57,0.06,0.06,0,0.17,0.4,102.27,317.59,5.5,4.22,86.13,215.31,193.78,0.37,0.14,0.25,161.48,247.61,183.02,-0.34,274.52,8.75,69.98,-8.37,2,0.19,0.19,0.11,0.56,0.78,86.13,0.37,0.08,0.19
S,2,2014-03-31 154232_MZ000080-P800_LC_WE_43.WAV,616,SI,2014-03-31 154232_MZ000080-P800_LC_WE.txt,43,y,71.84929698,72.1385,50,1000,2014-03-31 154232_MZ000080-P800_LC_WE.WAV,P800,0.27,0.17,2.53,9.24,0.84,0.88,0.73,0.34,0.2,0.06,0.31,0.26,2.86,0.06,0.06,0,0.24,0.29,91.51,285.29,5.29,4.4,118.42,193.78,220.7,0.47,0.08,0.18,150.72,269.14,269.14,-0.42,279.91,8.75,80.74,-8.37,2,0.42,0.32,0.16,0.63,0.84,118.42,0.32,0.09,0.16
R,1,2014-04-07 144056_MZ000093-HENK_LC_WE_9.WAV,16,HR,2014-04-07 144056_MZ000093-HENK_LC_WE.txt,9,y,14.54327506,15.66215617,50,1000,2014-04-07 144056_MZ000093-HENK_LC_WE.WAV,HENK,0.58,0.09,6.22,46.87,0.73,0.87,0.63,0.16,0.49,0.06,0.72,0.66,12,0.06,0.35,0.26,0.62,1.12,473.69,608.26,3.62,3.8,16.15,134.57,597.49,0.54,0.21,0.5,586.73,602.88,597.49,0.06,608.26,24.35,220.7,-10.65,4,0.49,0.46,0.37,0.65,0.82,16.15,0.19,0.23,0.61
R,1,2014-04-07 144056_MZ000093-HENK_LC_WE_11.WAV,16,HR,2014-04-07 144056_MZ000093-HENK_LC_WE.txt,11,y,19.55778097,20.65668207,50,1000,2014-04-07 144056_MZ000093-HENK_LC_WE.WAV,HENK,0.51,0.2,1.66,5.97,0.93,0.87,0.81,0.53,0.39,0.06,0.72,0.66,13.94,0.06,0.31,0.23,0.32,1.1,236.84,683.62,6.13,4.34,242.23,446.77,339.12,0.71,0.71,0.91,285.29,527.52,274.52,0.07,538.28,19.78,215.31,-17.5,7,0.92,0.25,0.11,0.91,0.95,242.23,0.66,0.18,0.44
I,NA,2014-04-07 144056_MZ000093-HENK_LC_WE_13.WAV,812,LR,2014-04-07 144056_MZ000093-HENK_LC_WE.txt,13,y,24.77572579,25.90459692,50,1000,2014-04-07 144056_MZ000093-HENK_LC_WE.WAV,HENK,0.35,0.19,5.07,38.13,0.88,0.87,0.77,0.39,0.26,0.09,0.57,0.48,10,0.2,0.28,0.07,0.21,1.13,166.87,549.05,4.98,3.57,37.68,382.18,226.08,0.34,0.44,0.85,204.55,242.23,236.84,0.04,543.66,25.49,96.89,-25.87,7,0.18,0.18,0.1,0.57,0.86,37.68,0.39,0.1,0.24
I,NA,2014-04-07 144056_MZ000093-HENK_LC_WE_18.WAV,812,LR,2014-04-07 144056_MZ000093-HENK_LC_WE.txt,18,y,38.71782756,39.71682856,50,1000,2014-04-07 144056_MZ000093-HENK_LC_WE.WAV,HENK,0.31,0.18,2.54,9.97,0.89,0.87,0.78,0.41,0.24,0.06,0.53,0.48,7.23,0.06,0.28,0.22,0.24,1,123.81,500.6,5.63,3.78,91.51,376.8,209.93,0.46,0.45,0.76,177.63,269.14,199.16,0.08,285.29,11.03,96.89,-9.13,4,0.2,0.22,0.07,0.68,0.86,91.51,0.46,0.08,0.21
I,NA,2014-04-07 144056_MZ000093-HENK_LC_WE_19.WAV,812,LR,2014-04-07 144056_MZ000093-HENK_LC_WE.txt,19,y,41.51567923,42.56463028,50,1000,2014-04-07 144056_MZ000093-HENK_LC_WE.WAV,HENK,0.35,0.2,3.38,15.81,0.89,0.87,0.77,0.44,0.21,0.09,0.35,0.26,5.43,0.2,0.28,0.07,0.21,1.05,145.34,538.28,5.42,3.52,91.51,392.95,199.16,0.42,0.45,0.83,177.63,269.14,199.16,0.07,274.52,12.17,96.89,-10.27,5,0.21,0.22,0.07,0.66,0.88,91.51,0.44,0.09,0.21
I,2,2014-04-07 144056_MZ000093-HENK_LC_WE_21.WAV,812,LR,2014-04-07 144056_MZ000093-HENK_LC_WE.txt,21,y,47.17495994,47.88526371,50,1000,2014-04-07 144056_MZ000093-HENK_LC_WE.WAV,HENK,0.32,0.19,1.41,4.04,0.9,0.87,0.78,0.42,0.23,0.06,0.53,0.48,7.62,0.31,0.13,-0.26,0.17,0.71,102.27,559.81,6.02,4.45,134.57,457.54,231.46,0.45,0.27,0.5,166.87,301.44,188.4,-0.11,306.82,9.89,86.13,-9.13,6,0.22,0.24,0.08,0.63,0.8,134.57,0.39,0.08,0.19
I,2,2014-04-07 144056_MZ000093-HENK_LC_WE_22.WAV,812,LR,2014-04-07 144056_MZ000093-HENK_LC_WE.txt,22,y,49.78028603,50.58947684,50,1000,2014-04-07 144056_MZ000093-HENK_LC_WE.WAV,HENK,0.3,0.18,1.96,6.68,0.9,0.87,0.78,0.41,0.21,0.06,0.53,0.48,5.85,0.06,0.06,0,0.17,0.81,102.27,559.81,5.98,4.48,102.27,457.54,231.46,0.41,0.27,0.5,172.25,274.52,193.78,-0.01,269.14,11.41,75.36,-11.41,7,0.16,0.21,0.09,0.55,0.71,102.27,0.34,0.06,0.19
R,NA,2014-04-16 090344_MZ000121-HELIUM_LC_WE_6.WAV,812,HR,2014-04-16 090344_MZ000121-HELIUM_LC_WE.txt,6,y,13.55279274,14.5824,50,1000,2014-04-16 090344_MZ000121-HELIUM_LC_WE.WAV,HELIUM,0.41,0.15,2.74,11.94,0.89,0.87,0.78,0.38,0.32,0.06,0.94,0.88,7.54,0.24,0.94,0.68,0.36,1.03,188.4,436.01,5.39,4.24,96.89,247.61,344.5,0.74,0.11,0.34,269.14,366.03,371.41,-0.45,656.7,10.65,172.25,-9.51,4,0.71,0.71,0.58,0.82,0.92,96.89,0.11,0.17,0.66
I,2,2014-04-16 090344_MZ000121-HELIUM_LC_WE_13.WAV,616,SI,2014-04-16 090344_MZ000121-HELIUM_LC_WE.txt,13,y,22.30862146,22.9755,50,1000,2014-04-16 090344_MZ000121-HELIUM_LC_WE.WAV,HELIUM,0.26,0.14,4.2,22.82,0.81,0.87,0.7,0.27,0.23,0.06,0.42,0.37,4.7,0.06,0.31,0.39,0.21,0.67,150.72,322.97,4.65,3.6,26.91,172.25,204.55,0.48,0.08,0.41,193.78,220.7,204.55,-0.32,317.59,0.38,107.66,-1.9,1,0.48,0.41,0.11,0.54,0.74,26.91,0.13,0.11,0.32
R,NA,2014-04-16 090344_MZ000121-HELIUM_LC_WE_16.WAV,812,LR,2014-04-16 090344_MZ000121-HELIUM_LC_WE.txt,16,y,26.23636219,27.18497914,50,1000,2014-04-16 090344_MZ000121-HELIUM_LC_WE.WAV,HELIUM,0.4,0.09,4.34,23.74,0.73,0.87,0.63,0.14,0.38,0.06,0.72,0.66,6.11,0.2,0.06,-0.15,0.4,0.95,344.5,419.86,3.78,3.29,26.91,75.36,409.09,0.59,0.18,0.45,387.56,414.48,414.48,0.09,419.86,13.31,226.08,-6.85,8,0.67,0.48,0.29,0.68,0.77,26.92,0.2,0.11,0.42
R,1,2014-04-17 074312_MZ000125-HELIUM_LC_WE_7.WAV,16,HR,2014-04-17 074312_MZ000125-HELIUM_LC_WE.txt,7,y,9.478978804,10.14391843,50,1000,2014-04-17 074312_MZ000125-HELIUM_LC_WE.WAV,HELIUM,0.68,0.17,2.22,9.21,0.91,0.87,0.78,0.43,0.6,0.06,0.97,0.92,9.4,0.2,0.68,0.72,0.7,0.66,425.24,866.63,5.84,4.79,69.98,441.39,678.23,0.8,0.07,0.51,635.17,705.15,689,0.49,872.02,15.6,215.31,-11.41,3,0.8,0.74,0.15,0.85,0.93,69.98,0.11,0.25,0.88
S,2,2014-04-17 074312_MZ000125-HELIUM_LC_WE_20.WAV,616,SI,2014-04-17 074312_MZ000125-HELIUM_LC_WE.txt,20,y,29.6580295,29.94013672,50,1000,2014-04-17 074312_MZ000125-HELIUM_LC_WE.WAV,HELIUM,0.29,0.21,1.91,5.77,0.89,0.88,0.78,0.48,0.18,0.06,0.28,0.22,3,0.06,0.06,0,0.17,0.28,134.57,344.5,4.75,4.87,32.3,209.93,188.4,0.21,0.04,0.13,172.25,204.55,183.02,0.19,236.84,12.17,64.59,-2.66,1,0.16,0.11,0,0.26,0.47,32.3,0.16,0.08,0.19
S,2,2014-04-17 074312_MZ000125-HELIUM_LC_WE_24.WAV,616,SI,2014-04-17 074312_MZ000125-HELIUM_LC_WE.txt,24,y,34.11615352,34.44626539,50,1000,2014-04-17 074312_MZ000125-HELIUM_LC_WE.WAV,HELIUM,0.27,0.21,2.71,9.82,0.85,0.87,0.75,0.42,0.17,0.06,0.35,0.29,4.5,0.06,0.35,0.89,0.17,0.33,118.42,274.52,4.52,4.4,26.91,156.1,166.87,0.26,0.04,0.13,150.72,177.63,166.87,-0.3,199.16,2.66,64.59,-1.52,1,0.22,0.22,0.13,0.35,0.52,26.91,0.13,0.07,0.17
S,2,2014-04-17 074312_MZ000125-HELIUM_LC_WE_29.WAV,616,SI,2014-04-17 074312_MZ000125-HELIUM_LC_WE.txt,29,y,40.30831973,40.54411392,50,1000,2014-04-17 074312_MZ000125-HELIUM_LC_WE.WAV,HELIUM,0.29,0.2,2.02,6.13,0.86,0.89,0.76,0.44,0.17,0.06,0.35,0.29,4.75,0.31,0.09,-0.94,0.13,0.24,96.89,306.82,5.41,4.66,123.81,209.93,161.48,0.38,0.07,0.16,139.95,263.76,156.1,-0.33,156.1,0,80.74,-1.14,0,0.25,0.25,0.13,0.56,0.81,123.81,0.31,0.1,0.16
S,2,2014-04-17 074312_MZ000125-HELIUM_LC_WE_32.WAV,616,SI,2014-04-17 074312_MZ000125-HELIUM_LC_WE.txt,32,y,44.62819513,44.84040991,50,1000,2014-04-17 074312_MZ000125-HELIUM_LC_WE.WAV,HELIUM,0.25,0.19,2.31,7.74,0.83,0.89,0.74,0.37,0.14,0.06,0.24,0.18,3.2,0.06,0.13,0.35,0.13,0.21,91.51,279.91,4.93,4.4,37.68,188.4,145.34,0.36,0.04,0.13,129.19,166.87,145.34,-0.38,166.87,0,91.51,-1.52,0,0.29,0.29,0.14,0.5,0.79,37.68,0.21,0.09,0.15
S,2,2014-04-17 074312_MZ000125-HELIUM_LC_WE_34.WAV,616,SI,2014-04-17 074312_MZ000125-HELIUM_LC_WE.txt,34,y,46.7409111,46.982,50,1000,2014-04-17 074312_MZ000125-HELIUM_LC_WE.WAV,HELIUM,0.25,0.19,3.11,12.3,0.81,0.88,0.72,0.34,0.16,0.06,0.5,0.44,2.5,0.06,0.06,0,0.17,0.24,113.04,247.61,4.34,4.24,21.53,134.57,156.1,0.35,0.04,0.11,145.34,166.87,156.1,-0.36,172.25,1.14,69.98,-1.52,3,0.29,0.24,0.18,0.41,0.65,21.53,0.18,0.1,0.17
R,NA,2014-04-17 124200_MZ000129-HELIUM_LC_WE_19.WAV,16,HR,2014-04-17 124200_MZ000129-HELIUM_LC_WE.txt,19,y,55.82557311,56.81731232,50,1000,2014-04-17 124200_MZ000129-HELIUM_LC_WE.WAV,HELIUM,0.45,0.08,4.53,27.03,0.77,0.87,0.67,0.12,0.4,0.06,0.53,0.48,4.31,0.06,0.06,0,0.47,0.99,312.2,495.22,3.54,2.75,32.3,183.02,462.92,0.42,0.12,0.48,441.39,473.69,473.69,0.1,516.75,36.41,139.95,-26.97,5,0.45,0.37,0.25,0.49,0.74,32.3,0.12,0.18,0.49
S,2,2014-04-17 124200_MZ000129-HELIUM_LC_WE_21.WAV,616,SI,2014-04-17 124200_MZ000129-HELIUM_LC_WE.txt,21,y,58.17950452,58.7926,50,1000,2014-04-17 124200_MZ000129-HELIUM_LC_WE.WAV,HELIUM,0.26,0.12,3.43,15.99,0.82,0.87,0.71,0.19,0.21,0.06,0.39,0.33,4.89,0.06,0.06,0,0.21,0.61,150.72,301.44,3.61,2.92,32.3,150.72,193.78,0.33,0.08,0.25,172.25,204.55,193.78,-0.02,269.14,18.88,96.89,-16.18,5,0.3,0.28,0.18,0.41,0.59,32.3,0.13,0.09,0.26
S,2,2014-04-17 124200_MZ000129-HELIUM_LC_WE_25.WAV,616,SI,2014-04-17 124200_MZ000129-HELIUM_LC_WE.txt,25,y,62.78436946,63.08113806,50,1000,2014-04-17 124200_MZ000129-HELIUM_LC_WE.WAV,HELIUM,0.27,0.19,2.75,9.77,0.83,0.88,0.73,0.35,0.18,0.06,0.24,0.18,2.2,0.24,0.06,-0.62,0.21,0.3,150.72,226.08,3.32,2.93,32.3,75.36,204.55,0.19,0.04,0.11,183.02,215.31,204.55,-0.45,215.31,1.35,75.36,-1.35,1,0.17,0.14,0.06,0.28,0.44,32.3,0.14,0.1,0.21
S,2,2014-04-17 124200_MZ000129-HELIUM_LC_WE_29.WAV,616,SI,2014-04-17 124200_MZ000129-HELIUM_LC_WE.txt,29,y,67.08334078,67.32932667,50,1000,2014-04-17 124200_MZ000129-HELIUM_LC_WE.WAV,HELIUM,0.26,0.2,3.56,18.08,0.82,0.88,0.72,0.36,0.15,0.06,0.2,0.15,3,0.06,0.06,0,0.17,0.25,118.42,215.31,3.19,2.99,21.53,96.89,172.25,0.27,0.02,0.11,161.48,183.02,172.25,0.09,204.55,13.49,86.13,-2.7,1,0.23,0.2,0.13,0.3,0.6,21.53,0.1,0.1,0.17
S,2,2014-04-17 124200_MZ000129-HELIUM_LC_WE_37.WAV,616,SI,2014-04-17 124200_MZ000129-HELIUM_LC_WE.txt,37,y,75.5933379,75.7931381,50,1000,2014-04-17 124200_MZ000129-HELIUM_LC_WE.WAV,HELIUM,0.24,0.19,2.63,10.24,0.82,0.9,0.73,0.34,0.14,0.09,0.24,0.15,2.5,0.2,0.13,-0.37,0.13,0.2,96.89,226.08,3.56,3.06,32.3,129.19,161.48,0.17,0.02,0.12,139.95,172.25,161.48,0.17,193.78,13.49,75.36,-2.7,1,0.13,0.13,0.04,0.25,0.67,32.3,0.13,0.09,0.16
S,2,2014-04-17 124200_MZ000129-HELIUM_LC_WE_39.WAV,616,SI,2014-04-17 124200_MZ000129-HELIUM_LC_WE.txt,39,y,77.66687523,77.89664546,50,1000,2014-04-17 124200_MZ000129-HELIUM_LC_WE.WAV,HELIUM,0.25,0.19,2.52,9.02,0.83,0.89,0.73,0.34,0.14,0.06,0.2,0.15,3,0.06,0.06,0,0.13,0.23,96.89,226.08,3.53,3.1,32.3,129.19,161.48,0.21,0.03,0.13,139.95,172.25,161.48,-0.43,172.25,0,75.36,-2.7,0,0.18,0.14,0.07,0.29,0.64,32.3,0.14,0.09,0.16
S,2,2014-04-17 124200_MZ000129-HELIUM_LC_WE_50.WAV,616,SI,2014-04-17 124200_MZ000129-HELIUM_LC_WE.txt,50,y,91.51844049,91.7023933,50,1000,2014-04-17 124200_MZ000129-HELIUM_LC_WE.WAV,HELIUM,0.25,0.18,3.03,13.54,0.82,0.91,0.74,0.33,0.14,0.06,0.31,0.26,2.14,0.06,0.31,1.4,0.13,0.18,86.13,290.67,4.19,3.3,86.13,204.55,129.19,0.45,0.06,0.12,107.66,193.78,107.66,-0.55,161.48,0,64.59,-1.35,0,0.59,0.27,0.14,0.64,0.82,86.13,0.36,0.1,0.12
R,NA,2014-05-02 0905_1005-HELIUM_LC_YQ_17.WAV,16,LR,2014-05-02 0905_1005-HELIUM_LC_YQ.txt,17,y,22.84107528,23.72019616,50,1000,2014-05-02 0905_1005-HELIUM_LC_YQ.WAV,HELIUM,0.44,0.08,3.79,18,0.76,0.87,0.66,0.11,0.41,0.06,0.5,0.44,4.5,0.06,0.35,0.33,0.47,0.88,285.29,484.45,4.61,3.65,43.06,199.16,462.92,0.51,0.18,0.52,430.63,473.69,468.31,0.11,484.45,6.85,193.78,-7.99,2,0.51,0.39,0.21,0.61,0.82,43.06,0.21,0.2,0.49
S,2,2014-05-02 0905_1005-HELIUM_LC_YQ_25.WAV,616,SI,2014-05-02 0905_1005-HELIUM_LC_YQ.txt,25,y,31.9796583,32.3623,50,1000,2014-05-02 0905_1005-HELIUM_LC_YQ.WAV,HELIUM,0.3,0.2,2.17,6.74,0.87,0.87,0.75,0.41,0.2,0.06,0.35,0.29,3.5,0.06,0.06,0,0.21,0.38,139.95,387.56,5.33,4.48,59.21,247.61,220.7,0.35,0.07,0.18,183.02,242.23,226.08,-0.51,274.52,0,86.13,-3.04,0,0.31,0.27,0.15,0.46,0.65,59.21,0.19,0.09,0.26
S,2,2014-05-02 0905_1005-HELIUM_LC_YQ_27.WAV,616,SI,2014-05-02 0905_1005-HELIUM_LC_YQ.txt,27,y,34.25836742,34.61475321,50,1000,2014-05-02 0905_1005-HELIUM_LC_YQ.WAV,HELIUM,0.28,0.19,2.59,9.19,0.85,0.87,0.74,0.35,0.19,0.06,0.28,0.22,3.5,0.24,0.06,-0.52,0.21,0.36,139.95,269.14,4.74,4.22,37.68,129.19,204.55,0.28,0.07,0.17,183.02,220.7,215.31,-0.46,242.23,0,80.74,-1.52,0,0.2,0.2,0.12,0.4,0.6,37.68,0.2,0.09,0.22
S,2,2014-05-02 0905_1005-HELIUM_LC_YQ_33.WAV,616,SI,2014-05-02 0905_1005-HELIUM_LC_YQ.txt,33,y,41.15182618,41.4715,50,1000,2014-05-02 0905_1005-HELIUM_LC_YQ.WAV,HELIUM,0.28,0.19,2.43,9.37,0.87,0.87,0.76,0.4,0.16,0.06,0.28,0.22,3.67,0.06,0.06,0,0.17,0.32,113.04,366.03,5.08,4.3,37.68,252.99,172.25,0.29,0.07,0.17,156.1,193.78,172.25,-0.42,199.16,0,75.36,-1.14,0,0.24,0.19,0.1,0.43,0.67,37.68,0.24,0.09,0.19
S,2,2014-05-02 0905_1005-HELIUM_LC_YQ_35.WAV,616,SI,2014-05-02 0905_1005-HELIUM_LC_YQ.txt,35,y,43.51747512,43.85099175,50,1000,2014-05-02 0905_1005-HELIUM_LC_YQ.WAV,HELIUM,0.29,0.2,2.19,7.93,0.88,0.87,0.77,0.45,0.15,0.06,0.31,0.26,1,0.31,0.06,-0.77,0.17,0.33,102.27,387.56,5.26,4.25,43.06,285.29,166.87,0.32,0.08,0.2,150.72,193.78,161.48,-0.4,199.16,0,75.36,-1.14,0,0.27,0.18,0.09,0.45,0.73,43.06,0.27,0.08,0.18
S,2,2014-05-02 0905_1005-HELIUM_LC_YQ_37.WAV,616,SI,2014-05-02 0905_1005-HELIUM_LC_YQ.txt,37,y,45.8602586,46.1782,50,1000,2014-05-02 0905_1005-HELIUM_LC_YQ.WAV,HELIUM,0.28,0.19,2.29,8.27,0.86,0.87,0.76,0.37,0.15,0.06,0.28,0.22,1.33,0.2,0.06,-0.46,0.17,0.32,107.66,387.56,4.97,4.18,32.3,279.91,172.25,0.27,0.07,0.18,156.1,188.4,172.25,-0.42,199.16,0,69.98,-1.14,0,0.23,0.18,0.09,0.41,0.68,32.3,0.23,0.08,0.18
S,2,2014-05-22 0638_1016-OTTO_LC_YQ_23.WAV,616,SI,2014-05-22 0638_1016-OTTO_LC_YQ.txt,23,y,30.90949306,31.3956,50,1000,2014-05-22 0638_1016-OTTO_LC_YQ.WAV,OTTO,0.35,0.18,3.49,14.63,0.81,0.87,0.7,0.32,0.27,0.06,0.35,0.29,1,0.35,0.06,-0.6,0.24,0.49,215.31,366.03,4.73,3.09,48.45,150.72,263.76,0.42,0.18,0.38,236.84,285.29,279.91,-0.17,301.44,0.38,215.31,-1.14,1,0.3,0.24,0.06,0.64,0.88,48.45,0.39,0.22,0.3
S,2,2014-05-24 1104_MZ000216-NIKO_LC_WE_24.WAV,616,IN,2014-05-24 1104_MZ000216-NIKO_LC_WE.txt,24,y,39.88106144,40.34708502,50,1000,2014-05-24 1104_MZ000216-NIKO_LC_WE.WAV,NIKO,0.23,0.21,7.29,69.01,0.82,0.87,0.71,0.39,0.11,0.06,0.17,0.11,14,0.06,0.06,0,0.09,0.47,64.59,209.93,4.17,3.4,16.15,145.34,102.27,0.38,0.2,0.38,96.89,113.04,107.66,-0.16,129.19,0.38,59.21,-1.52,2,0.22,0.19,0.03,0.63,0.88,16.15,0.44,0.08,0.11
