"","HU","VO","HR","LR","IN","SI","Correct"
"HU",14,0,1,0,0,0,0.93
"VO",2,8,8,2,0,0,0.4
"HR",2,7,29,10,0,4,0.56
"LR",0,0,6,46,5,21,0.59
"IN",0,0,0,17,12,18,0.26
"SI",0,0,0,10,4,187,0.93
