,n.clusters,sil.coef,algorithm,N.features,randomization
194,2,0.612974438,fuzzy,1,17
206,2,0.659479655,fuzzy,1,18
242,2,0.703442371,fuzzy,1,21
254,2,0.675636914,fuzzy,1,22
266,2,0.716126159,fuzzy,1,23
278,2,0.65949332,fuzzy,1,24
74,3,0.356081198,fuzzy,1,7
182,3,0.370040549,fuzzy,1,16
230,3,0.376440727,fuzzy,1,20
14,4,0.539539935,fuzzy,1,2
50,4,0.469283403,fuzzy,1,5
146,4,0.538976368,fuzzy,1,13
290,5,0.614249269,fuzzy,1,25
218,6,0.351470895,fuzzy,1,19
,7,,fuzzy,1,0
,8,,fuzzy,1,0
16,2,0.478718401,fuzzy,2,2
28,2,0.684922548,fuzzy,2,3
40,2,0.671023702,fuzzy,2,4
52,2,0.551103394,fuzzy,2,5
76,2,0.510180061,fuzzy,2,7
88,2,0.646139423,fuzzy,2,8
100,2,0.501695942,fuzzy,2,9
112,2,0.620899664,fuzzy,2,10
124,2,0.522827344,fuzzy,2,11
136,2,0.702319211,fuzzy,2,12
148,2,0.520551197,fuzzy,2,13
160,2,0.410785668,fuzzy,2,14
172,2,0.367476221,fuzzy,2,15
208,2,0.414580267,fuzzy,2,18
220,2,0.428227309,fuzzy,2,19
232,2,0.464085039,fuzzy,2,20
244,2,0.691028049,fuzzy,2,21
256,2,0.683678631,fuzzy,2,22
268,2,0.633705623,fuzzy,2,23
292,2,0.688526913,fuzzy,2,25
4,3,0.332768008,fuzzy,2,1
,4,,fuzzy,2,0
64,5,0.534398267,fuzzy,2,6
196,5,0.435686165,fuzzy,2,17
280,5,0.442036912,fuzzy,2,24
184,6,0.525812115,fuzzy,2,16
,7,,fuzzy,2,0
,8,,fuzzy,2,0
6,2,0.448961689,fuzzy,3,1
18,2,0.593511256,fuzzy,3,2
30,2,0.583045858,fuzzy,3,3
42,2,0.703308468,fuzzy,3,4
66,2,0.594808505,fuzzy,3,6
102,2,0.428125587,fuzzy,3,9
138,2,0.67640092,fuzzy,3,12
150,2,0.577269879,fuzzy,3,13
162,2,0.558540339,fuzzy,3,14
186,2,0.434646322,fuzzy,3,16
210,2,0.621872574,fuzzy,3,18
222,2,0.635360334,fuzzy,3,19
234,2,0.60866553,fuzzy,3,20
246,2,0.558718259,fuzzy,3,21
258,2,0.633440955,fuzzy,3,22
270,2,0.637083989,fuzzy,3,23
282,2,0.574108321,fuzzy,3,24
78,3,0.287260742,fuzzy,3,7
90,3,0.424712974,fuzzy,3,8
114,3,0.3370966,fuzzy,3,10
126,3,0.2610531,fuzzy,3,11
174,3,0.296848274,fuzzy,3,15
294,4,0.587197653,fuzzy,3,25
54,5,0.400664399,fuzzy,3,5
198,6,0.357866794,fuzzy,3,17
,7,,fuzzy,3,0
,8,,fuzzy,3,0
8,2,0.594610278,fuzzy,4,1
44,2,0.573998364,fuzzy,4,4
68,2,0.561080764,fuzzy,4,6
80,2,0.61855002,fuzzy,4,7
92,2,0.675186981,fuzzy,4,8
104,2,0.51060107,fuzzy,4,9
116,2,0.586416313,fuzzy,4,10
128,2,0.588543007,fuzzy,4,11
176,2,0.595255345,fuzzy,4,15
200,2,0.587265096,fuzzy,4,17
212,2,0.575289074,fuzzy,4,18
224,2,0.568977808,fuzzy,4,19
236,2,0.60407857,fuzzy,4,20
248,2,0.615811503,fuzzy,4,21
260,2,0.632302227,fuzzy,4,22
272,2,0.60510545,fuzzy,4,23
284,2,0.563293946,fuzzy,4,24
296,2,0.570062019,fuzzy,4,25
32,3,0.2885091,fuzzy,4,3
56,3,0.381358091,fuzzy,4,5
152,3,0.332453961,fuzzy,4,13
164,3,0.353885457,fuzzy,4,14
20,4,0.315993798,fuzzy,4,2
140,4,0.286820914,fuzzy,4,12
188,4,0.358103712,fuzzy,4,16
,5,,fuzzy,4,0
,6,,fuzzy,4,0
,7,,fuzzy,4,0
,8,,fuzzy,4,0
22,2,0.566757627,fuzzy,5,2
34,2,0.55736202,fuzzy,5,3
46,2,0.548897544,fuzzy,5,4
58,2,0.55199147,fuzzy,5,5
70,2,0.552704362,fuzzy,5,6
82,2,0.577415628,fuzzy,5,7
94,2,0.550129395,fuzzy,5,8
106,2,0.565948167,fuzzy,5,9
118,2,0.564443067,fuzzy,5,10
130,2,0.564984824,fuzzy,5,11
142,2,0.556728006,fuzzy,5,12
154,2,0.566096154,fuzzy,5,13
166,2,0.558557968,fuzzy,5,14
178,2,0.572760785,fuzzy,5,15
190,2,0.551457829,fuzzy,5,16
202,2,0.572808992,fuzzy,5,17
214,2,0.56559835,fuzzy,5,18
226,2,0.544458602,fuzzy,5,19
238,2,0.549433791,fuzzy,5,20
250,2,0.559564779,fuzzy,5,21
262,2,0.554162667,fuzzy,5,22
274,2,0.553290327,fuzzy,5,23
286,2,0.580972263,fuzzy,5,24
298,2,0.569308285,fuzzy,5,25
10,3,0.288300831,fuzzy,5,1
,4,,fuzzy,5,0
,5,,fuzzy,5,0
,6,,fuzzy,5,0
,7,,fuzzy,5,0
,8,,fuzzy,5,0
12,2,0.55455952,fuzzy,6,1
24,2,0.556755475,fuzzy,6,2
36,2,0.550801805,fuzzy,6,3
48,2,0.563926032,fuzzy,6,4
60,2,0.564655839,fuzzy,6,5
72,2,0.556665604,fuzzy,6,6
84,2,0.547075814,fuzzy,6,7
96,2,0.551318754,fuzzy,6,8
108,2,0.559421645,fuzzy,6,9
120,2,0.561287651,fuzzy,6,10
132,2,0.550061527,fuzzy,6,11
144,2,0.554538182,fuzzy,6,12
156,2,0.556276467,fuzzy,6,13
168,2,0.566366033,fuzzy,6,14
180,2,0.563295777,fuzzy,6,15
192,2,0.556664315,fuzzy,6,16
204,2,0.556664208,fuzzy,6,17
216,2,0.564213972,fuzzy,6,18
228,2,0.555205811,fuzzy,6,19
240,2,0.574746344,fuzzy,6,20
252,2,0.545936149,fuzzy,6,21
264,2,0.568280986,fuzzy,6,22
276,2,0.544995903,fuzzy,6,23
288,2,0.570357828,fuzzy,6,24
300,2,0.557415468,fuzzy,6,25
,3,,fuzzy,6,0
,4,,fuzzy,6,0
,5,,fuzzy,6,0
,6,,fuzzy,6,0
,7,,fuzzy,6,0
,8,,fuzzy,6,0
