meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5%.Hz,Freq.95%.Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50%.Hz,BW.90%.Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50%.s,Dur.90%.s,Freq.25%.Hz,Freq.75%.Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz/ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz/ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz/ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25%.Rel.,Time.5%.Rel.,Time.75%.Rel.,Time.95%.Rel.,Freq_IQR,Time_IQR,F0_min,F0_max,Pulse.Type,member_V1,member_V2,Typicality(d),Cluster,Typical,Atypical,Cluster_Typical,Cluster_Atypical
0.42,0.13,3.34,16.48,0.83,0.89,0.74,0.28,0.38,0.06,0.46,0.4,1.41,0.06,0.3,0.66,0.4,0.36,258.38,473.69,3.54,2.83,129.19,215.31,409.09,0.72,0.1,0.16,301.44,430.63,279.91,0.3,559.81,49.97,193.78,-68.71,11,0.78,0.5,0.39,0.77,0.83,129.19,0.27,0.28,0.45,HR,0.971855353,0.028144647,0.943710706,1,FALSE,FALSE,NA,NA
0.6,0.27,2.41,9.23,0.9,0.86,0.78,0.44,0.52,0.38,0.72,0.33,2.23,0.4,0.39,-0.02,0.4,0.5,301.44,796.66,4.38,2.9,215.31,495.22,430.63,0.66,0.08,0.31,409.09,624.41,409.09,0.91,796.66,149.91,279.91,-87.45,8,0.65,0.58,0.21,0.74,0.82,215.31,0.16,0.21,0.71,HR,0.992558026,0.007441974,0.985116051,1,TRUE,FALSE,1,NA
0.59,0.23,2.19,7.41,0.88,0.85,0.75,0.34,0.49,0.35,0.66,0.31,2.41,0.35,0.41,0.09,0.41,0.7,344.5,667.47,4.31,2.63,150.72,322.97,473.69,0.47,0.29,0.45,409.09,559.81,387.56,0.06,667.47,68.71,258.38,-74.96,13,0.71,0.29,0.18,0.71,0.83,150.72,0.42,0.36,0.66,HR,0.997313304,0.002686696,0.994626609,1,TRUE,FALSE,1,NA
0.58,0.27,2.24,8.07,0.9,0.85,0.76,0.42,0.47,0.06,0.66,0.6,1.91,0.24,0.06,-0.25,0.37,0.74,258.38,667.47,4.39,2.74,150.72,409.09,430.63,0.64,0.21,0.51,387.56,538.28,387.56,0.26,645.94,31.23,193.78,-18.74,14,0.66,0.38,0.09,0.67,0.78,150.72,0.28,0.11,0.65,HR,0.995681662,0.004318338,0.991363324,1,TRUE,FALSE,1,NA
0.32,0.13,3.65,18.23,0.83,0.85,0.71,0.26,0.27,0.06,0.36,0.3,2.86,0.21,0.06,-0.15,0.23,0.99,209.93,344.5,4.56,3.79,32.3,134.57,242.23,0.22,0.37,0.68,231.46,263.76,231.46,0.12,349.88,7.23,193.78,-3.42,6,0.14,0.14,0.09,0.52,0.78,32.3,0.38,0.14,0.35,HR,0.003540638,0.996459362,0.992918723,2,TRUE,FALSE,2,NA
0.69,0.29,2.86,14.37,0.91,0.85,0.78,0.43,0.4,0.06,0.55,0.5,2.98,0.06,0.46,0.42,0.43,0.94,355.27,963.52,6.16,5.45,91.51,608.26,452.16,0.74,0.23,0.59,419.86,511.37,452.16,0.21,549.05,11.79,242.23,-12.17,11,0.77,0.58,0.26,0.82,0.89,91.51,0.24,0.29,0.49,HR,0.999166125,0.000833875,0.99833225,1,TRUE,FALSE,1,NA
0.7,0.28,3.72,20.77,0.9,0.85,0.77,0.43,0.45,0.23,0.55,0.32,2.53,0.23,0.43,0.24,0.45,0.81,382.18,925.84,5.9,4.99,64.59,543.66,473.69,0.7,0.23,0.54,446.77,511.37,457.54,0.26,549.05,10.65,231.46,-7.61,7,0.77,0.5,0.2,0.79,0.88,64.59,0.29,0.23,0.51,HR,0.999265856,0.000734144,0.998531713,1,TRUE,FALSE,1,NA
0.71,0.27,2.88,15.79,0.91,0.85,0.78,0.43,0.47,0.06,0.77,0.71,3.2,0.06,0.72,0.73,0.46,0.9,360.65,1006.59,6.51,5.39,269.14,645.94,505.98,0.69,0.27,0.55,436.01,705.15,500.6,0.19,764.36,25.87,242.23,-23.58,13,0.6,0.52,0.29,0.82,0.92,269.14,0.31,0.3,0.53,HR,0.999531121,0.000468879,0.999062242,1,TRUE,FALSE,1,NA
0.68,0.29,2.1,7.72,0.9,0.85,0.77,0.37,0.51,0.25,0.94,0.69,6.95,0.35,0.32,-0.03,0.32,1.27,296.06,915.08,5.74,4.26,150.72,619.02,344.5,0.82,0.23,0.71,317.59,468.31,317.59,0.03,791.27,27.77,263.76,-28.15,7,0.85,0.69,0.36,0.87,0.92,150.72,0.18,0.29,0.47,HR,0.999272717,0.000727283,0.998545433,1,TRUE,FALSE,1,NA
0.66,0.31,2.73,14.05,0.92,0.86,0.79,0.47,0.59,0.06,1.45,1.39,6.96,0.12,0.3,0.1,0.31,1.74,263.76,963.52,6.41,5.47,468.31,699.77,360.65,0.67,0.37,1.17,312.2,780.51,349.88,0.04,1033.5,51.35,193.78,-37.28,24,0.67,0.53,0.23,0.74,0.92,468.31,0.21,0.11,0.52,HR,0.99603763,0.00396237,0.99207526,1,TRUE,FALSE,1,NA
