meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5%.Hz,Freq.95%.Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50%.Hz,BW.90%.Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50%.s,Dur.90%.s,Freq.25%.Hz,Freq.75%.Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz/ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz/ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz/ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25%.Rel.,Time.5%.Rel.,Time.75%.Rel.,Time.95%.Rel.,Freq_IQR,Time_IQR,F0_min,F0_max,Pulse.Type,member_V1,member_V2,Typicality(d),Cluster,Typical,Atypical,Cluster_Typical,Cluster_Atypical
0.33,0.2,4.24,28.47,0.89,0.87,0.77,0.44,0.22,0.06,0.53,0.48,8,0.28,0.28,0,0.17,0.91,129.19,613.64,4.78,3.13,86.13,484.45,204.55,0.2,0.25,0.68,161.48,247.61,193.78,-0.2,441.39,31.42,75.36,-31.42,10,0.15,0.12,0.05,0.4,0.81,86.13,0.28,0.09,0.23,IN,0.009742581,0.990257419,0.980514838,2,TRUE,FALSE,2,NA
0.44,0.14,2.99,12.16,0.84,0.87,0.73,0.3,0.45,0.2,0.57,0.37,9.7,0.31,0.5,0.28,0.43,0.67,193.78,516.75,4.5,3.25,96.89,322.97,430.63,0.77,0.35,0.56,387.56,484.45,484.45,0.05,527.52,27.93,193.78,-26.76,11,0.8,0.32,0.08,0.86,0.94,96.89,0.54,0.19,0.53,IN,0.998498031,0.001501969,0.996996061,1,TRUE,FALSE,1,NA
0.35,0.15,7.45,73.86,0.82,0.87,0.71,0.29,0.32,0.06,0.5,0.44,4.5,0.06,0.2,0.19,0.32,0.79,161.48,484.45,4.4,2.22,118.42,322.97,290.67,0.85,0.25,0.62,193.78,312.2,183.02,-0.15,473.69,33.74,161.48,-31.42,4,0.89,0.58,0.15,0.9,0.95,118.42,0.32,0.17,0.31,IN,0.895749264,0.104250736,0.791498529,1,FALSE,TRUE,NA,1
0.48,0.13,8.53,84.39,0.66,0.87,0.57,0.14,0.45,0.06,0.5,0.44,2.67,0.06,0.06,0,0.47,0.98,441.39,473.69,1.98,2.23,10.77,32.3,462.92,0.49,0.08,0.46,452.16,462.92,462.92,-0.11,505.98,18.62,226.08,-9.31,9,0.48,0.45,0.37,0.53,0.85,10.77,0.09,0.23,0.5,IN,0.88250437,0.11749563,0.76500874,1,FALSE,TRUE,NA,1
0.33,0.17,4.7,29.19,0.82,0.87,0.71,0.25,0.26,0.06,0.61,0.55,6.8,0.06,0.35,0.28,0.21,1.06,183.02,581.34,3.99,2.67,86.13,398.33,204.55,0.48,0.22,0.73,193.78,279.91,204.55,-0.12,495.22,26.76,161.48,-27.93,6,0.44,0.42,0.21,0.63,0.91,86.13,0.21,0.1,0.32,IN,0.27871514,0.72128486,0.44256972,2,FALSE,TRUE,NA,2
0.35,0.18,8.07,83.29,0.77,0.87,0.68,0.23,0.28,0.06,0.64,0.59,7.31,0.06,0.24,0.17,0.21,1.08,193.78,624.41,3.3,2.62,53.83,430.63,204.55,0.53,0.32,0.68,204.55,258.38,204.55,-0.06,613.64,45.38,161.48,-45.38,8,0.37,0.38,0.27,0.68,0.91,53.83,0.3,0.11,0.31,IN,0.745358139,0.254641861,0.490716277,1,FALSE,TRUE,NA,1
0.32,0.16,5.51,40.08,0.83,0.87,0.72,0.27,0.28,0.06,0.53,0.48,5.92,0.06,0.24,0.18,0.21,1,183.02,505.98,3.67,2.63,32.3,322.97,215.31,0.52,0.13,0.71,204.55,236.84,215.31,-0.02,527.52,27.93,129.19,-29.09,5,0.52,0.46,0.14,0.59,0.86,32.3,0.13,0.12,0.34,IN,0.089066688,0.910933312,0.821866624,2,FALSE,TRUE,NA,2
0.4,0.16,4.91,38.01,0.86,0.87,0.75,0.35,0.33,0.06,0.53,0.48,15.15,0.06,0.09,0.05,0.32,0.79,172.25,495.22,4.58,3.25,215.31,322.97,247.61,0.85,0.19,0.55,193.78,409.09,193.78,-0.03,484.45,16.29,183.02,-18.62,11,0.88,0.64,0.24,0.88,0.93,215.31,0.25,0.19,0.35,IN,0.957476921,0.042523079,0.914953843,1,FALSE,FALSE,NA,NA
0.3,0.17,5.79,45.5,0.8,0.87,0.69,0.23,0.25,0.06,0.53,0.48,6.31,0.06,0.06,0,0.17,0.79,150.72,495.22,3.89,2.61,53.83,344.5,183.02,0.26,0.25,0.61,172.25,226.08,183.02,-0.04,236.84,11.64,118.42,-1.16,3,0.22,0.19,0.07,0.51,0.85,53.83,0.32,0.1,0.23,IN,0.001636209,0.998363791,0.996727583,2,TRUE,FALSE,2,NA
0.29,0.17,3.42,19.38,0.88,0.87,0.76,0.34,0.2,0.06,0.53,0.48,4.15,0.06,0.06,0,0.17,0.84,118.42,452.16,4.33,2.8,53.83,333.73,193.78,0.18,0.39,0.67,161.48,215.31,183.02,-0.01,495.22,39.56,75.36,-40.72,5,0.16,0.11,0.06,0.58,0.86,53.83,0.47,0.07,0.22,IN,0.001995731,0.998004269,0.996008537,2,TRUE,FALSE,2,NA
0.26,0.19,5.92,43.86,0.79,0.87,0.69,0.32,0.17,0.06,0.31,0.26,4.29,0.06,0.13,0.1,0.13,0.7,107.66,279.91,3.64,2.59,43.06,172.25,150.72,0.52,0.3,0.56,139.95,183.02,161.48,0.02,193.78,10.47,96.89,-8.15,4,0.24,0.28,0.09,0.71,0.91,43.06,0.43,0.11,0.16,IN,0.00221499,0.99778501,0.99557002,2,TRUE,FALSE,2,NA
0.3,0.16,2.4,8.92,0.87,0.87,0.76,0.32,0.24,0.06,0.46,0.4,2.73,0.06,0.06,0,0.21,0.68,118.42,409.09,4.4,2.91,53.83,290.67,193.78,0.15,0.34,0.55,172.25,226.08,183.02,0.03,269.14,13.96,86.13,-11.64,4,0.08,0.08,0.03,0.59,0.84,53.83,0.51,0.08,0.19,IN,0.000227893,0.999772107,0.999544214,2,TRUE,FALSE,2,NA
0.3,0.17,3.27,17.81,0.88,0.87,0.76,0.37,0.24,0.06,0.31,0.26,5.43,0.06,0.06,0,0.17,0.77,139.95,387.56,4.01,2.8,32.3,247.61,193.78,0.16,0.25,0.6,183.02,215.31,193.78,-0.01,279.91,15.13,139.95,-2.33,6,0.1,0.1,0.05,0.42,0.83,32.3,0.33,0.08,0.2,IN,7.69E-05,0.999923098,0.999846195,2,TRUE,FALSE,2,NA
0.28,0.19,2.95,11.48,0.86,0.87,0.75,0.35,0.22,0.06,0.46,0.4,2.73,0.2,0.06,-0.2,0.21,0.72,107.66,430.63,4.33,2.9,43.06,322.97,193.78,0.22,0.34,0.52,172.25,215.31,183.02,-0.2,269.14,13.96,64.59,-10.47,2,0.08,0.1,0.05,0.58,0.78,43.06,0.48,0.07,0.18,IN,6.63E-05,0.999933723,0.999867446,2,TRUE,FALSE,2,NA
0.32,0.16,3.14,12.14,0.82,0.87,0.71,0.25,0.28,0.06,0.97,0.92,6.8,0.57,0.06,-0.6,0.24,0.86,183.02,505.98,4.02,2.6,43.06,322.97,226.08,0.57,0.19,0.49,215.31,258.38,215.31,-0.09,505.98,27.93,129.19,-27.93,6,0.6,0.4,0.21,0.63,0.78,43.06,0.23,0.11,0.31,IN,0.150535192,0.849464808,0.698929615,2,FALSE,TRUE,NA,2
0.33,0.19,4.96,29.22,0.77,0.85,0.65,0.23,0.21,0.16,0.47,0.31,2.17,0.19,0.22,0.04,0.15,0.81,177.63,419.86,3.85,3.22,21.53,242.23,199.16,0.43,0.23,0.48,188.4,209.93,188.4,0.04,209.93,1.9,150.72,-1.9,5,0.3,0.32,0.23,0.61,0.84,21.53,0.29,0.01,0.21,LR,0.008470408,0.991529592,0.983059184,2,TRUE,FALSE,2,NA
0.38,0.23,4.82,29.77,0.78,0.85,0.66,0.17,0.26,0.18,0.31,0.13,1.5,0.18,0.29,0.12,0.24,0.87,220.7,306.82,4.11,2.82,26.91,86.13,290.67,0.62,0.23,0.5,269.14,296.06,301.44,0.14,301.44,0.38,172.25,-0.76,2,0.72,0.48,0.28,0.74,0.85,26.91,0.26,0.18,0.3,LR,0.434799254,0.565200746,0.130401492,2,FALSE,TRUE,NA,2
0.5,0.19,4.27,24.66,0.84,0.85,0.71,0.29,0.38,0.21,0.61,0.4,2.22,0.39,0.61,0.17,0.36,1.27,231.46,764.36,5.65,3.25,64.59,532.9,387.56,0.65,0.62,1.1,355.27,419.86,392.95,0.27,597.49,22.06,199.16,-5.33,3,0.57,0.39,0.07,0.89,0.95,64.59,0.5,0.2,0.42,LR,0.9982592,0.0017408,0.996518401,1,TRUE,FALSE,1,NA
0.43,0.18,2.52,8.93,0.87,0.85,0.74,0.34,0.35,0.2,0.44,0.24,2.91,0.2,0.37,0.15,0.31,1.17,209.93,436.01,5.49,3.66,75.36,226.08,312.2,0.81,0.68,0.95,290.67,366.03,296.06,0.07,436.01,8.75,199.16,-6.47,4,0.89,0.28,0.09,0.88,0.91,75.36,0.59,0.2,0.43,LR,0.984334736,0.015665264,0.968669471,1,FALSE,FALSE,NA,NA
0.4,0.2,2.65,9.68,0.88,0.85,0.75,0.43,0.23,0.06,0.49,0.43,6.78,0.35,0.21,-0.19,0.36,0.74,188.4,398.33,5.04,4.57,145.34,209.93,355.27,0.85,0.07,0.42,231.46,376.8,371.41,0,430.63,11.41,193.78,-10.65,5,0.83,0.81,0.38,0.9,0.96,145.34,0.1,0.01,0.41,LR,0.912470984,0.087529016,0.824941968,1,FALSE,TRUE,NA,1
0.33,0.16,8.29,99.74,0.81,0.85,0.69,0.29,0.26,0.06,0.31,0.25,3.48,0.2,0.26,0.06,0.23,1.15,204.55,296.06,4.62,3.49,59.21,91.51,252.99,0.75,0.3,0.89,226.08,285.29,252.99,0.02,312.2,6.85,166.87,-5.33,5,0.79,0.54,0.08,0.8,0.86,59.21,0.26,0.04,0.31,LR,0.570510788,0.429489212,0.141021576,1,FALSE,TRUE,NA,1
0.27,0.1,3.79,18.18,0.77,0.85,0.66,0.13,0.24,0.12,0.4,0.28,3.85,0.24,0.24,0,0.21,1.16,193.78,333.73,4.31,3.48,21.53,139.95,226.08,0.51,0.13,0.5,220.7,242.23,226.08,0.02,290.67,7.61,145.34,-1.52,6,0.51,0.46,0.31,0.57,0.74,21.53,0.11,0.04,0.29,LR,0.023516226,0.976483774,0.952967548,2,FALSE,FALSE,NA,NA
0.31,0.14,3.38,13.96,0.8,0.85,0.68,0.24,0.27,0.13,0.45,0.31,2.62,0.33,0.22,-0.1,0.23,1.07,215.31,296.06,4.24,3.41,26.91,80.74,247.61,0.72,0.1,0.34,236.84,263.76,247.61,-0.11,366.03,4.18,193.78,-2.28,9,0.71,0.67,0.51,0.76,0.83,26.91,0.09,0.01,0.34,LR,0.380751979,0.619248021,0.238496042,2,FALSE,TRUE,NA,2
0.3,0.12,4.01,19.26,0.79,0.85,0.67,0.22,0.26,0.18,0.29,0.11,2.5,0.26,0.25,-0.01,0.22,1.09,220.7,279.91,4.07,3.41,26.91,59.21,247.61,0.67,0.13,0.69,236.84,263.76,236.84,0.01,279.91,3.42,183.02,-1.52,3,0.71,0.61,0.16,0.72,0.8,26.91,0.12,0.11,0.28,LR,0.113969372,0.886030628,0.772061257,2,FALSE,TRUE,NA,2
0.27,0.11,4.19,21.81,0.77,0.85,0.65,0.14,0.24,0.1,0.29,0.18,2.94,0.21,0.1,-0.09,0.21,1.14,199.16,279.91,4.04,3.57,21.53,80.74,231.46,0.58,0.14,0.69,220.7,242.23,226.08,-0.02,279.91,7.61,161.48,-3.04,8,0.62,0.51,0.14,0.63,0.76,21.53,0.13,0.01,0.28,LR,0.020208155,0.979791845,0.959583691,2,FALSE,FALSE,NA,NA
0.29,0.13,3.92,19.22,0.8,0.85,0.68,0.2,0.29,0.09,0.79,0.7,3.03,0.34,0.09,-0.23,0.21,1.07,199.16,339.12,4.14,3.52,21.53,139.95,226.08,0.57,0.08,0.37,220.7,242.23,226.08,-0.12,392.95,6.85,166.87,-1.9,7,0.59,0.53,0.39,0.61,0.73,21.53,0.08,0.09,0.39,LR,0.119982459,0.880017541,0.760035082,2,FALSE,TRUE,NA,2
0.5,0.29,7.72,71.55,0.77,0.85,0.65,0.24,0.32,0.2,0.34,0.14,1.38,0.31,0.2,-0.11,0.26,1,204.55,952.76,4.34,3.04,21.53,748.21,317.59,0.61,0.51,0.81,301.44,322.97,317.59,0.03,328.35,3.42,220.7,-3.04,4,0.61,0.36,0.13,0.87,0.94,21.53,0.51,0.08,0.33,LR,0.932107985,0.067892015,0.86421597,1,FALSE,FALSE,NA,NA
0.36,0.21,3.73,17.92,0.84,0.85,0.72,0.32,0.3,0.18,0.65,0.47,2.25,0.24,0.23,-0.01,0.22,0.97,215.31,349.88,4.06,3.35,16.15,134.57,231.46,0.78,0.1,0.76,226.08,242.23,226.08,-0.02,349.88,3.42,172.25,-5.33,4,0.79,0.7,0.04,0.81,0.85,16.15,0.1,0.03,0.35,LR,0.376204646,0.623795354,0.247590708,2,FALSE,TRUE,NA,2
0.3,0.19,3.81,18.46,0.83,0.85,0.7,0.29,0.26,0.16,0.34,0.18,3.53,0.22,0.26,0.05,0.21,0.95,183.02,333.73,4.42,3.86,26.91,150.72,215.31,0.57,0.11,0.64,204.55,231.46,215.31,0.03,333.73,7.99,145.34,-2.66,5,0.57,0.49,0.06,0.61,0.73,26.91,0.12,0.02,0.34,LR,0.008288295,0.991711705,0.983423411,2,TRUE,FALSE,2,NA
0.29,0.16,3.29,13.97,0.82,0.85,0.7,0.28,0.23,0.06,0.3,0.24,2.36,0.27,0.06,-0.28,0.22,0.77,183.02,290.67,4.51,3.84,32.3,107.66,220.7,0.55,0.07,0.33,209.93,242.23,215.31,0.01,290.67,8.37,134.57,-2.28,7,0.55,0.49,0.23,0.58,0.66,32.3,0.09,0.01,0.29,LR,0.002081451,0.997918549,0.995837098,2,TRUE,FALSE,2,NA
0.35,0.17,3.38,17.1,0.86,0.85,0.73,0.32,0.3,0.15,0.39,0.25,2.43,0.25,0.25,0,0.2,1.01,193.78,382.18,4.88,3.55,96.89,188.4,242.23,0.75,0.18,0.61,220.7,317.59,236.84,0.04,382.18,4.95,172.25,-3.8,2,0.75,0.61,0.25,0.79,0.86,96.89,0.18,0.01,0.38,LR,0.380307392,0.619692608,0.239385216,2,FALSE,TRUE,NA,2
0.3,0.14,3.36,15.16,0.84,0.85,0.72,0.29,0.27,0.16,0.4,0.25,1.65,0.39,0.24,-0.14,0.21,1.04,188.4,409.09,4.99,3.58,59.21,220.7,231.46,0.53,0.13,0.69,215.31,274.52,226.08,0.2,398.33,23.96,53.83,-2.66,4,0.55,0.48,0.12,0.6,0.79,59.21,0.12,0.02,0.4,LR,0.02057728,0.97942272,0.95884544,2,FALSE,FALSE,NA,NA
0.28,0.16,3.46,16.21,0.83,0.85,0.7,0.27,0.21,0.07,0.32,0.25,3.48,0.21,0.08,-0.13,0.21,0.98,183.02,301.44,4.4,3.63,32.3,118.42,215.31,0.46,0.4,0.58,204.55,236.84,204.55,0.01,306.82,4.95,134.57,-3.42,4,0.53,0.1,0.04,0.51,0.65,32.3,0.41,0.11,0.31,LR,0.000618801,0.999381199,0.998762398,2,TRUE,FALSE,2,NA
0.28,0.16,3.33,14.82,0.84,0.85,0.72,0.3,0.21,0.06,0.29,0.23,2.48,0.19,0.06,-0.13,0.21,1.03,183.02,269.14,4.37,3.51,26.91,86.13,215.31,0.38,0.34,0.61,209.93,236.84,215.31,0.03,274.52,8.37,96.89,-7.99,4,0.14,0.15,0.1,0.49,0.69,26.91,0.33,0.09,0.27,LR,0.000122107,0.999877893,0.999755787,2,TRUE,FALSE,2,NA
0.47,0.22,3.05,12.14,0.85,0.85,0.72,0.3,0.37,0.21,0.46,0.25,2.04,0.21,0.39,0.22,0.37,0.82,236.84,473.69,3.8,2.57,64.59,236.84,344.5,0.67,0.26,0.55,322.97,387.56,344.5,0.19,452.16,87.45,107.66,-68.71,13,0.69,0.38,0.13,0.7,0.81,64.59,0.32,0.11,0.45,LR,0.961240687,0.038759313,0.922481374,1,FALSE,FALSE,NA,NA
0.5,0.27,7.66,73.34,0.84,0.85,0.71,0.35,0.33,0.22,0.44,0.22,2.65,0.22,0.36,0.17,0.33,0.81,236.84,516.75,3.13,2.79,21.53,279.91,344.5,0.57,0.07,0.52,322.97,344.5,344.5,0.05,430.63,74.96,86.13,-74.96,11,0.58,0.53,0.16,0.61,0.8,21.53,0.09,0.1,0.43,LR,0.893344842,0.106655158,0.786689684,1,FALSE,TRUE,NA,1
0.51,0.26,7.05,63.62,0.83,0.85,0.71,0.34,0.35,0.21,0.41,0.2,3.32,0.21,0.35,0.16,0.34,0.85,258.38,667.47,3.06,2.62,21.53,409.09,344.5,0.63,0.07,0.53,344.5,366.03,344.5,0.08,452.16,74.96,107.66,-81.2,15,0.65,0.58,0.16,0.67,0.78,21.53,0.09,0.11,0.41,LR,0.947390445,0.052609555,0.894780889,1,FALSE,FALSE,NA,NA
0.4,0.17,3.97,20.66,0.81,0.85,0.69,0.28,0.29,0.21,0.35,0.14,3.92,0.22,0.34,0.14,0.27,0.87,215.31,559.81,3.49,2.59,107.66,344.5,301.44,0.54,0.18,0.66,258.38,366.03,279.91,0.1,602.88,112.43,107.66,-87.45,12,0.49,0.44,0.1,0.65,0.86,107.66,0.21,0.11,0.34,LR,0.846207679,0.153792321,0.692415358,1,FALSE,TRUE,NA,1
0.32,0.15,3.23,15.67,0.86,0.85,0.73,0.32,0.24,0.1,0.35,0.25,2.78,0.23,0.1,-0.13,0.22,0.98,193.78,430.63,3.24,2.65,43.06,236.84,236.84,0.41,0.17,0.7,215.31,258.38,236.84,0,473.69,56.22,86.13,-49.97,11,0.38,0.34,0.13,0.51,0.85,43.06,0.17,0.1,0.29,LR,0.019835571,0.980164429,0.960328858,2,FALSE,FALSE,NA,NA
0.29,0.16,4.64,28.86,0.85,0.85,0.72,0.31,0.22,0.1,0.33,0.23,3.67,0.2,0.1,-0.1,0.17,0.96,172.25,279.91,2.53,2.64,43.06,107.66,215.31,0.29,0.16,0.63,193.78,236.84,215.31,0.02,409.09,43.72,86.13,-43.72,18,0.35,0.19,0.13,0.36,0.79,43.06,0.17,0.09,0.22,LR,0.011703553,0.988296447,0.976592893,2,TRUE,FALSE,2,NA
0.48,0.23,4.47,26.22,0.84,0.85,0.72,0.33,0.35,0.08,0.93,0.85,3.54,0.33,0.29,-0.03,0.3,1.33,301.44,721.3,4.18,3.3,21.53,419.86,322.97,0.68,0.18,0.57,312.2,333.73,328.35,0.04,769.74,34.24,236.84,-31.95,7,0.63,0.6,0.42,0.74,0.85,21.53,0.14,0.24,0.36,LR,0.995602584,0.004397416,0.991205168,1,TRUE,FALSE,1,NA
0.28,0.13,1.9,6.04,0.86,0.85,0.73,0.22,0.26,0.17,0.45,0.28,2.96,0.36,0.24,-0.1,0.18,1.13,161.48,430.63,5.6,3.5,102.27,269.14,231.46,0.41,0.33,0.81,193.78,296.06,209.93,-0.11,441.39,10.65,156.1,-10.65,7,0.34,0.32,0.1,0.61,0.82,102.27,0.29,0.08,0.35,LR,0.029236601,0.970763399,0.941526799,2,FALSE,FALSE,NA,NA
0.34,0.17,6.47,59.52,0.85,0.85,0.72,0.39,0.28,0.12,0.37,0.25,2.13,0.33,0.21,-0.11,0.28,1.03,172.25,349.88,4.74,3.8,43.06,177.63,285.29,0.49,0.5,0.72,274.52,317.59,322.97,0.06,398.33,14.07,166.87,-4.18,12,0.25,0.28,0.21,0.76,0.92,43.06,0.49,0.11,0.35,LR,0.633838248,0.366161752,0.267676496,1,FALSE,TRUE,NA,1
0.31,0.14,1.63,4.96,0.88,0.85,0.75,0.28,0.26,0.11,0.38,0.27,2.44,0.35,0.15,-0.19,0.3,1.1,172.25,403.71,5.57,3.64,134.57,231.46,306.82,0.29,0.35,0.72,209.93,344.5,204.55,-0.07,371.41,12.55,96.89,-9.89,4,0.3,0.16,0.05,0.49,0.72,134.57,0.33,0.1,0.36,LR,0.006311317,0.993688683,0.987377367,2,TRUE,FALSE,2,NA
0.4,0.15,5.23,35.48,0.82,0.85,0.7,0.31,0.32,0.2,0.38,0.18,2.59,0.2,0.33,0.11,0.31,1.13,236.84,392.95,4.52,3.43,32.3,156.1,339.12,0.63,0.35,0.85,317.59,349.88,349.88,0.14,376.8,5.71,199.16,-3.04,8,0.68,0.46,0.13,0.77,0.89,32.3,0.32,0.2,0.37,LR,0.94243527,0.05756473,0.88487054,1,FALSE,FALSE,NA,NA
0.37,0.18,4.46,27.06,0.81,0.85,0.69,0.25,0.26,0.18,0.3,0.12,2,0.18,0.29,0.09,0.23,1.16,209.93,511.37,4.76,3.31,48.45,301.44,269.14,0.59,0.47,0.91,242.23,290.67,290.67,0.11,290.67,3.42,161.48,-0.38,6,0.74,0.32,0.1,0.73,0.89,48.45,0.41,0.19,0.29,LR,0.664249325,0.335750675,0.32849865,1,FALSE,TRUE,NA,1
0.22,0.15,3.95,22.52,0.87,0.85,0.74,0.43,0.13,0.07,0.29,0.22,2.1,0.13,0.07,-0.08,0.06,0.81,80.74,296.06,4.71,3.88,166.87,215.31,107.66,0.49,0.28,0.58,96.89,263.76,102.27,-0.03,274.52,9.89,53.83,-10.65,7,0.6,0.3,0.14,0.65,0.86,166.87,0.35,0.07,0.14,LR,0.002291062,0.997708938,0.995417876,2,TRUE,FALSE,2,NA
0.44,0.16,3.32,15.36,0.87,0.85,0.74,0.32,0.33,0.18,0.58,0.4,2.73,0.3,0.35,0.04,0.3,1.2,269.14,581.34,5.11,3.34,48.45,312.2,322.97,0.63,0.5,0.91,306.82,355.27,312.2,-0.02,366.03,1.14,263.76,-1.9,5,0.43,0.43,0.14,0.85,0.9,48.45,0.42,0.22,0.36,LR,0.987773295,0.012226705,0.97554659,1,FALSE,FALSE,NA,NA
0.39,0.18,4.16,24.21,0.86,0.85,0.73,0.32,0.31,0.13,0.37,0.24,2.41,0.22,0.19,-0.02,0.31,1.63,183.02,371.41,4.99,3.03,134.57,188.4,339.12,0.33,0.99,1.32,226.08,360.65,360.65,0.02,366.03,11.03,86.13,-9.51,4,0.27,0.18,0.05,0.8,0.87,134.57,0.61,0.09,0.37,LR,0.767068635,0.232931365,0.53413727,1,FALSE,TRUE,NA,1
0.39,0.19,4.26,31.09,0.88,0.85,0.75,0.35,0.3,0.1,0.37,0.27,2.52,0.24,0.1,-0.09,0.3,1.55,183.02,366.03,5.01,3.13,134.57,183.02,328.35,0.38,0.91,1.22,220.7,355.27,193.78,0,360.65,10.65,91.51,-8.37,8,0.82,0.2,0.06,0.8,0.86,134.57,0.59,0.09,0.36,LR,0.764832838,0.235167162,0.529665676,1,FALSE,TRUE,NA,1
0.29,0.19,2.99,12.02,0.85,0.85,0.73,0.3,0.22,0.09,0.4,0.31,4.62,0.21,0.25,0.03,0.18,1.59,166.87,328.35,4.82,3.3,48.45,161.48,215.31,0.4,0.31,1.13,193.78,242.23,204.55,0.03,285.29,9.89,134.57,-9.89,7,0.42,0.29,0.05,0.48,0.77,48.45,0.2,0.08,0.29,LR,0.018965346,0.981034654,0.962069307,2,FALSE,FALSE,NA,NA
0.29,0.17,2.91,11.76,0.85,0.85,0.72,0.29,0.2,0.06,0.29,0.23,2.67,0.19,0.06,-0.11,0.18,1.22,166.87,349.88,4.85,3.57,43.06,183.02,215.31,0.27,0.25,0.82,199.16,242.23,204.55,-0.15,274.52,9.13,69.98,-7.23,4,0.29,0.16,0.07,0.38,0.75,43.06,0.21,0.08,0.27,LR,0.000184755,0.999815245,0.999630491,2,TRUE,FALSE,2,NA
0.49,0.19,2.39,7.98,0.9,0.85,0.77,0.48,0.37,0.22,0.58,0.36,3.03,0.23,0.3,0.05,0.38,1.21,220.7,651.32,6.11,3.71,139.95,430.63,387.56,0.65,0.67,1,306.82,446.77,457.54,0.03,457.54,5.71,220.7,-9.13,2,0.71,0.28,0.08,0.84,0.92,139.95,0.55,0.19,0.46,LR,0.99728885,0.00271115,0.9945777,1,TRUE,FALSE,1,NA
0.34,0.17,7.25,73.52,0.83,0.85,0.71,0.31,0.24,0.18,0.55,0.38,4.51,0.24,0.29,0.04,0.21,1.23,199.16,489.84,4.57,3.3,37.68,290.67,220.7,0.41,0.35,0.93,209.93,247.61,220.7,0.01,290.67,8.37,172.25,-1.9,7,0.36,0.29,0.08,0.59,0.86,37.68,0.29,0.09,0.29,LR,0.315428053,0.684571947,0.369143893,2,FALSE,TRUE,NA,2
0.34,0.2,1.81,5.8,0.9,0.86,0.77,0.47,0.25,0.07,0.45,0.38,5.46,0.3,0.24,-0.09,0.24,0.57,107.66,452.16,5.65,4.88,188.4,344.5,290.67,0.33,0.13,0.33,236.84,425.24,296.06,-0.08,446.77,14.46,69.98,-22.82,6,0.2,0.2,0.1,0.43,0.68,188.4,0.23,0.07,0.15,LR,0.014875059,0.985124941,0.970249882,2,FALSE,FALSE,NA,NA
0.43,0.23,8.54,114.03,0.88,0.85,0.75,0.43,0.28,0.06,0.33,0.27,2.56,0.25,0.06,-0.15,0.25,1.33,193.78,635.17,5.26,3.72,102.27,441.39,279.91,0.6,0.64,0.99,215.31,317.59,215.31,0.31,505.98,18.64,113.04,-2.28,6,0.8,0.3,0.1,0.79,0.86,102.27,0.49,0.1,0.32,LR,0.881715062,0.118284938,0.763430124,1,FALSE,TRUE,NA,1
0.4,0.22,6.33,51.49,0.88,0.85,0.75,0.46,0.25,0.06,0.3,0.24,3.86,0.06,0.22,0.11,0.22,1.54,193.78,559.81,5.04,3.58,53.83,366.03,258.38,0.5,0.91,1.16,220.7,274.52,209.93,0.1,285.29,12.55,96.89,-9.89,11,0.8,0.18,0.08,0.77,0.84,53.83,0.59,0.06,0.28,LR,0.780814433,0.219185567,0.561628866,1,FALSE,TRUE,NA,1
0.33,0.21,3.97,21.83,0.89,0.85,0.76,0.44,0.2,0.06,0.57,0.51,3.55,0.13,0.06,-0.05,0.17,1.38,177.63,409.09,4.63,3.59,37.68,231.46,215.31,0.24,0.27,0.89,193.78,231.46,220.7,0.02,489.84,17.12,86.13,-17.5,9,0.22,0.18,0.1,0.37,0.75,37.68,0.2,0.08,0.23,LR,0.009219987,0.990780013,0.981560026,2,TRUE,FALSE,2,NA
0.31,0.19,2.39,11.53,0.9,0.85,0.77,0.39,0.22,0.06,0.36,0.3,6.57,0.27,0.06,-0.2,0.17,1.07,145.34,414.48,4.93,4.18,37.68,269.14,209.93,0.23,0.11,0.62,199.16,236.84,209.93,-0.16,290.67,11.41,53.83,-16.74,6,0.21,0.19,0.12,0.29,0.71,37.68,0.11,0.06,0.21,LR,0.000276262,0.999723738,0.999447476,2,TRUE,FALSE,2,NA
0.43,0.18,7.46,70.08,0.75,0.85,0.64,0.17,0.36,0.21,0.45,0.24,2,0.21,0.21,0,0.37,1,204.55,436.01,4.93,3.41,204.55,231.46,382.18,0.51,0.52,0.83,226.08,430.63,436.01,0.11,436.01,7.61,199.16,-5.33,2,0.54,0.13,0.07,0.66,0.91,204.55,0.53,0.2,0.44,LR,0.93058111,0.06941889,0.86116222,1,FALSE,FALSE,NA,NA
0.34,0.16,4.1,27.27,0.85,0.87,0.74,0.38,0.27,0.06,0.94,0.88,11.63,0.06,0.24,0.22,0.21,0.83,172.25,349.88,4.69,3.4,43.06,177.63,199.16,0.25,0.62,0.71,188.4,231.46,193.78,-0.02,349.88,1.9,172.25,-5.71,5,0.11,0.12,0.07,0.89,0.95,43.06,0.77,0.14,0.35,LR,0.380308177,0.619691823,0.239383646,2,FALSE,TRUE,NA,2
